interval,hour,minute,second,acX,acY,acX,gyX,gyY,gyZ,denoisedAcX,denoisedAcY,denoisedAcZ
5,16,31,58,1960,-5784,10576,516,1285,4224,76,-24,-44
5,16,31,58,1824,-5728,10560,514,1301,4224,-60,32,-60
5,16,31,58,1856,-5720,10564,518,1297,4224,-28,40,-56
5,16,31,58,1888,-5816,10500,516,1296,4224,4,-56,-120
5,16,31,58,1832,-5784,10756,518,1300,4224,-52,-24,136
5,16,31,58,1896,-5816,10756,518,1296,4224,12,-56,136
5,16,31,58,1920,-5816,10512,512,1285,4224,36,-56,-108
5,16,31,58,1960,-6112,10564,518,1285,4224,76,-352,-56
5,16,31,58,1888,-5888,10768,512,1296,4224,4,-128,148
5,16,31,58,1984,-5664,10512,514,1280,4224,100,96,-108
5,16,31,58,1896,-5728,10512,512,1296,4224,12,32,-108
5,16,31,58,1896,-5760,10564,518,1280,4224,12,0,-56
5,16,31,58,1832,-5760,10576,514,1284,4224,-52,0,-44
5,16,31,58,1864,-5784,10576,514,1284,4224,-20,-24,-44
5,16,31,58,1864,-5752,10756,512,1280,4224,-20,8,136
5,16,31,58,1920,-5784,10496,516,1284,4224,36,-24,-124
5,16,31,59,2024,-5720,10496,514,1297,4224,140,40,-124
5,16,31,59,1768,-5816,10564,518,1296,4224,-116,-56,-56
5,16,31,59,1824,-5752,10836,512,1297,4224,-60,8,216
5,16,31,59,2024,-5816,10512,516,1301,4224,140,-56,-108
5,16,31,59,1896,-5784,10564,512,1285,4224,12,-24,-56
5,16,31,59,1800,-5760,10772,514,1296,4224,-84,0,152
5,16,31,59,1864,-5816,10772,514,1280,4224,-20,-56,152
5,16,31,59,1920,-5720,10836,512,1281,4224,36,40,216
5,16,31,59,1920,-5848,10820,514,1301,4224,36,-88,200
5,16,31,59,1856,-5728,10516,514,1301,4224,-28,32,-104
5,16,31,59,1928,-5720,10752,514,1297,4224,44,40,132
5,16,31,59,1824,-5688,10496,518,1296,4224,-60,72,-124
5,16,31,59,1896,-5752,10512,514,1300,4224,12,8,-108
5,16,31,59,1984,-5784,10772,512,1285,4224,100,-24,152
5,16,31,59,1888,-5760,10516,518,1285,4224,4,0,-104
5,16,31,59,1856,-5792,10512,512,1296,4224,-28,-32,-108
5,16,31,59,1992,-5760,10772,518,1280,4224,108,0,152
5,16,31,59,1928,-5760,10576,514,1284,4224,44,0,-44
5,16,31,59,1832,-5784,10580,516,1285,4224,-52,-24,-40
5,16,31,59,1864,-5728,10516,514,1284,4224,-20,32,-104
5,16,31,59,1960,-5784,10576,518,1285,4224,76,-24,-44
5,16,31,59,1896,-5752,10560,516,1284,4224,12,8,-60
5,16,31,56,1920,-5720,10776,514,1300,4224,36,40,156
5,16,31,56,1888,-5824,10568,516,1280,4224,4,-64,-52
5,16,31,56,1928,-5792,10776,516,1296,4224,44,-32,156
5,16,31,56,1888,-5752,10568,516,1300,4224,4,8,-52
5,16,31,56,1952,-5752,10752,518,1296,4224,68,8,132
5,16,31,56,1928,-5792,10776,514,1280,4224,44,-32,156
5,16,31,56,1896,-5728,10752,516,1296,4224,12,32,132
5,16,31,56,1856,-5784,10576,516,1280,4224,-28,-24,-44
5,16,31,56,1984,-5664,10584,518,1296,4224,100,96,-36
5,16,31,56,1888,-5760,10576,516,1285,4224,4,0,-44
5,16,31,56,1856,-5792,10520,516,1301,4224,-28,-32,-100
5,16,31,56,1920,-5792,10496,512,1297,4224,36,-32,-124
5,16,31,56,1792,-5848,10824,518,1301,4224,-92,-88,204
5,16,31,56,1960,-5760,10496,514,1301,4224,76,0,-124
5,16,31,56,1928,-5728,10560,518,1280,4224,44,32,-60
5,16,31,56,1960,-5688,10568,516,1300,4224,76,72,-52
5,16,31,56,1992,-5720,10520,516,1284,4224,108,40,-100
5,16,31,56,1896,-5728,10576,516,1296,4224,12,32,-44
